,count,percentage,EOA_count,EOA_percentage
erd1dhmpqwwphc9c4zzxd3g8vjwk9gmkgw6elg9rxr7y2henlsdx3pgq3zx6w9,0,0.0,16,0.09871059288049848
erd1nqpcm39k4rd6scdj86e5ceut0ttv4py7zvpna84d2vzc588a5n6szlaekw,3,0.018508236165093468,16,0.09871059288049848
erd1udf8fm2ze46sskk3asapcxcqne2qdh7kvpq5ng8344uwd4xw5dqsqtculm,0,0.0,16,0.09871059288049848
erd1l60thjx8lg9x7amqdchhr4mg88kl54lm27fdhnu3dl9hgzhhrhwspzjq0c,0,0.0,16,0.09871059288049848
erd14u6hkudrcjdlmnuav0p5647rvmuw9agawx9u3q8ep25qp0p0mgqs8xsau4,1,0.006169412055031155,16,0.09871059288049848
erd1lex5qzqd7ame0068m9f052e67cxqz2ep4trhjmjgfgf2r4mgpg0qeq6h6a,0,0.0,16,0.09871059288049848
erd1tttqvdl3ardrelattu2v3ekmm06lm3266mnv50kfkd8hck2svl0qcjtqk2,1,0.006169412055031155,16,0.09871059288049848
erd19hmzqkg4k353faf78flzuy3afgm5v9vdg3zgzhwwrvkarzqy7q6s3qqg8r,0,0.0,16,0.09871059288049848
erd1kw09k7v20k6fxnp8fwne4qltanhwykntj2ee40ul8d48993rgtnqjwg0py,3,0.018508236165093468,16,0.09871059288049848
erd1vlnw0j6wxsndxlx6fvjyl24h67mc2f9ygh3ugn6s40tr7kk59p6sz6awg6,0,0.0,16,0.09871059288049848
erd1kk22s9vkjtdp36j3reac6yn88xwmxqwvcs3zmt3stkcl8as8kndsgpv64u,2,0.01233882411006231,16,0.09871059288049848
erd13efccqswe9y032evqkvdelfxgsvhw7ugfl02mjczdc2237fe3qysqlg5u6,0,0.0,15,0.09254118082546733
erd1vrw993xn0rxx48n9gqxz8u9v0yt7rxwu3n98896h36jwxkf6zgsqnvd4gx,1,0.006169412055031155,15,0.09254118082546733
erd1ymq0d2ttkmsjxy5gftrlqyn2ank6lurs3f7pjdc9psszpfm2n74st6m63c,0,0.0,15,0.09254118082546733
erd1a3v8pj7h9r2kn9xtrdr0k5naewqfjgrzwkv4t83jvu8gwnytyy4sx00e4c,0,0.0,15,0.09254118082546733
erd12svhvp57vhf7uz66v6mtr8x74e06jy7y6ezssa2etgjky9jstp7sx0tgrm,0,0.0,15,0.09254118082546733
erd1366lyhswllr059z0yhv2aeprkfrw3aqy426wzmgatfuvh9q2xaus4uwzmf,0,0.0,15,0.09254118082546733
erd1pvfvk2d0r0j5fcjdkgzzt940ufjuzaza042x7v5d45r7ardny3eqh34wxu,5,0.03084706027515578,15,0.09254118082546733
erd1h868uzakcu33m5hj6e7qnjxzmcz4e83hfxyjraxw4gjwpx3kmpasmh40mn,15,0.09254118082546733,15,0.09254118082546733
erd1tvtefq7jpaar80xutc38vrnmc54ecraq50gtjypk5w6l7xypva9sthnuze,6,0.037016472330186935,15,0.09254118082546733
erd12tnwv2f3jwg3j8ful3wf0yxkd56fuev4vdktwc50tl2fhhgt39jsguada8,0,0.0,15,0.09254118082546733
erd15c9d6dnggt257drduxlpyvqgs3h2x9u9zdxhxr96zl62cd809l9qthac3a,1,0.006169412055031155,14,0.08637176877043617
erd1cn0dmhyhu57vw8glzxyq3sfkfpq66jltfu505rfyu3apkyzehfrsdydspa,0,0.0,14,0.08637176877043617
erd1llczyd4ugz5yrs7767j88yjqt00kf6vft0k28vvsc9pd5qr00ygq0hxczv,0,0.0,14,0.08637176877043617
erd1x7ufd5tx73h24tl0muj9n69jpfk5468gr25n7ag05x055yd3v35qhd6wn6,0,0.0,14,0.08637176877043617
erd1rkdr5psn6jz3ya4l0q9ka6q5dr0c5ttsz4equsrz5yngyypwv27sj789av,0,0.0,14,0.08637176877043617
erd1wmgu0fpggds37xmenjtpf3njnvzw7u0x0c88mqevhgprh96qa2pqygc2ef,0,0.0,14,0.08637176877043617
erd1cvfjpqtwy5599e0qwkx2s6r4jvsar3jwhrf0e2h2ynvphc2d3erstkqcyk,9,0.055524708495280406,14,0.08637176877043617
